Date,Open,High,Low,Close,Adj Close,Volume
2021-10-06,373000.000000,383500.000000,371500.000000,373000.000000,372504.281250,826716
2021-10-07,380500.000000,394000.000000,378000.000000,393500.000000,392977.031250,832068
2021-10-08,397500.000000,397500.000000,388000.000000,388500.000000,387983.687500,542514
2021-10-12,384500.000000,387000.000000,372000.000000,372000.000000,371505.625000,817135
2021-10-13,372500.000000,383000.000000,372000.000000,382000.000000,381492.312500,612239
2021-10-14,387500.000000,396000.000000,385500.000000,395000.000000,394475.031250,689827
2021-10-15,400000.000000,400000.000000,392000.000000,393500.000000,392977.031250,444506
2021-10-18,395000.000000,399500.000000,389000.000000,396500.000000,395973.062500,448726
2021-10-19,400000.000000,408000.000000,398500.000000,407500.000000,406958.437500,560257
2021-10-20,411500.000000,417000.000000,407000.000000,407500.000000,406958.437500,591636
2021-10-21,407500.000000,412000.000000,404000.000000,410500.000000,409954.437500,482389
2021-10-22,411500.000000,411500.000000,402500.000000,407500.000000,406958.437500,395564
2021-10-25,408500.000000,413000.000000,401500.000000,402500.000000,401965.062500,461889
2021-10-26,402500.000000,413500.000000,402500.000000,412500.000000,411951.781250,471083
2021-10-27,415000.000000,419000.000000,411500.000000,414500.000000,413949.125000,497113
2021-10-28,419000.000000,419500.000000,411500.000000,413000.000000,412451.125000,494766
2021-10-29,413000.000000,414500.000000,405500.000000,407000.000000,406459.093750,472080
2021-11-01,407000.000000,411500.000000,404000.000000,408500.000000,407957.093750,337049
2021-11-02,409500.000000,414500.000000,409000.000000,410000.000000,409455.093750,352579
2021-11-03,410000.000000,411000.000000,400000.000000,402500.000000,401965.062500,366530
2021-11-04,409500.000000,415500.000000,406500.000000,411500.000000,410953.125000,537599
2021-11-05,411500.000000,415000.000000,405000.000000,410500.000000,409954.437500,309468
2021-11-08,414500.000000,415500.000000,405500.000000,408000.000000,407457.781250,365376
2021-11-09,409500.000000,419000.000000,408500.000000,417500.000000,416945.125000,542759
2021-11-10,415500.000000,419000.000000,411000.000000,414500.000000,413949.125000,414599
2021-11-11,411000.000000,413000.000000,405000.000000,407000.000000,406459.093750,566739
2021-11-12,407500.000000,412500.000000,403500.000000,409000.000000,408456.437500,412100
2021-11-15,409000.000000,412500.000000,408000.000000,411000.000000,410453.781250,331770
2021-11-16,410000.000000,412500.000000,405000.000000,405500.000000,404961.093750,490783
2021-11-17,406000.000000,406500.000000,399000.000000,401000.000000,400467.062500,540444
2021-11-18,403500.000000,413000.000000,402000.000000,407000.000000,406459.093750,729079
2021-11-19,407000.000000,410000.000000,404000.000000,404000.000000,403463.093750,415847
2021-11-22,403000.000000,411500.000000,400500.000000,410000.000000,409455.093750,555854
2021-11-23,401000.000000,405000.000000,399500.000000,400000.000000,399468.406250,682033
2021-11-24,399000.000000,401000.000000,392000.000000,395000.000000,394475.031250,554151
2021-11-25,400000.000000,401000.000000,395500.000000,397000.000000,396472.375000,323058
2021-11-26,394000.000000,395500.000000,388000.000000,389500.000000,388982.343750,473540
2021-11-29,386500.000000,391500.000000,382500.000000,386500.000000,385986.343750,457264
2021-11-30,391000.000000,392500.000000,381000.000000,381000.000000,380493.656250,1103481
2021-12-01,385000.000000,392500.000000,382000.000000,390000.000000,389481.687500,548840
2021-12-02,382500.000000,399000.000000,382000.000000,398500.000000,397970.406250,613006
2021-12-03,397500.000000,402000.000000,394500.000000,402000.000000,401465.750000,501099
2021-12-06,400500.000000,400500.000000,389500.000000,392000.000000,391479.031250,456773
2021-12-07,390500.000000,392500.000000,388500.000000,391000.000000,390480.343750,384366
2021-12-08,395000.000000,399500.000000,394000.000000,395000.000000,394475.031250,534080
2021-12-09,397000.000000,399500.000000,394000.000000,399500.000000,398969.062500,748143
2021-12-10,394000.000000,396500.000000,393500.000000,395000.000000,394475.031250,224452
2021-12-13,398000.000000,398000.000000,390000.000000,390500.000000,389981.031250,346330
2021-12-14,388500.000000,392500.000000,387000.000000,392000.000000,391479.031250,322068
2021-12-15,387000.000000,390000.000000,387000.000000,387500.000000,386985.000000,290339
2021-12-16,389500.000000,395500.000000,384500.000000,387500.000000,386985.000000,543865
2021-12-17,387000.000000,387500.000000,383500.000000,384500.000000,383989.000000,505284
2021-12-20,381500.000000,383000.000000,373000.000000,373000.000000,372504.281250,630690
2021-12-21,370000.000000,379000.000000,370000.000000,375000.000000,374501.625000,480367
2021-12-22,376000.000000,380000.000000,375500.000000,378500.000000,377996.968750,263513
2021-12-23,379500.000000,380500.000000,374500.000000,378000.000000,377497.625000,354342
2021-12-24,378000.000000,388000.000000,378000.000000,384000.000000,383489.656250,412695
2021-12-27,384500.000000,384500.000000,380000.000000,380500.000000,379994.312500,226757
2021-12-28,380000.000000,385500.000000,378000.000000,384500.000000,383989.000000,551228
2021-12-29,389000.000000,389000.000000,382000.000000,382000.000000,382000.000000,352409
2021-12-30,381000.000000,382000.000000,376000.000000,378500.000000,378500.000000,369314
2022-01-04,376000.000000,376000.000000,365000.000000,365500.000000,365500.000000,803676
2022-01-05,362000.000000,362000.000000,352000.000000,355000.000000,355000.000000,1151703
2022-01-06,348500.000000,349500.000000,337500.000000,338500.000000,338500.000000,1280916
2022-01-07,338000.000000,343500.000000,337000.000000,338000.000000,338000.000000,787839
2022-01-10,339000.000000,339500.000000,329000.000000,335000.000000,335000.000000,828611
2022-01-11,336000.000000,344500.000000,334500.000000,335000.000000,335000.000000,805084
2022-01-12,339500.000000,352500.000000,339500.000000,345500.000000,345500.000000,1047713
2022-01-13,348000.000000,352000.000000,344000.000000,348000.000000,348000.000000,677226
2022-01-14,341000.000000,342500.000000,335500.000000,342000.000000,342000.000000,504907
2022-01-17,340500.000000,346500.000000,339500.000000,343500.000000,343500.000000,418789
2022-01-18,346500.000000,348000.000000,335500.000000,338000.000000,338000.000000,441573
2022-01-19,330000.000000,334000.000000,328000.000000,332500.000000,332500.000000,749338
2022-01-20,331000.000000,336500.000000,326500.000000,335000.000000,335000.000000,695553
2022-01-21,330500.000000,340500.000000,330000.000000,333000.000000,333000.000000,580928
2022-01-24,333000.000000,334000.000000,327500.000000,328500.000000,328500.000000,494977
2022-01-25,329500.000000,331500.000000,318000.000000,322000.000000,322000.000000,799996
2022-01-26,322000.000000,322000.000000,322000.000000,322000.000000,322000.000000,0
2022-01-27,307000.000000,315500.000000,303000.000000,303000.000000,303000.000000,949565
2022-01-28,297000.000000,311000.000000,297000.000000,310000.000000,310000.000000,974351
2022-02-03,325500.000000,326000.000000,320000.000000,320500.000000,320500.000000,884438
2022-02-04,321500.000000,329500.000000,321000.000000,327500.000000,327500.000000,548945
2022-02-07,328500.000000,329000.000000,320500.000000,327000.000000,327000.000000,492656
2022-02-08,327000.000000,327000.000000,327000.000000,327000.000000,327000.000000,0
2022-02-09,327000.000000,327000.000000,327000.000000,327000.000000,327000.000000,0
2022-02-10,326500.000000,337500.000000,326500.000000,331500.000000,331500.000000,701866
2022-02-11,326500.000000,330500.000000,323500.000000,327500.000000,327500.000000,450896
2022-02-14,326000.000000,327000.000000,318000.000000,322000.000000,322000.000000,424845
2022-02-15,325000.000000,325500.000000,316000.000000,318500.000000,318500.000000,335584
2022-02-16,322500.000000,325500.000000,320000.000000,324500.000000,324500.000000,447832
2022-02-17,325000.000000,328000.000000,319000.000000,324500.000000,324500.000000,481773
2022-02-18,319500.000000,320000.000000,315500.000000,318000.000000,318000.000000,549382
2022-02-21,318000.000000,318000.000000,318000.000000,318000.000000,318000.000000,0
2022-02-22,318000.000000,318000.000000,318000.000000,318000.000000,318000.000000,0
2022-02-23,318000.000000,318000.000000,318000.000000,318000.000000,318000.000000,0
2022-02-24,305000.000000,306000.000000,300000.000000,302500.000000,302500.000000,666538
2022-02-25,308000.000000,317500.000000,305000.000000,314500.000000,314500.000000,857872
2022-02-28,314500.000000,314500.000000,314500.000000,314500.000000,314500.000000,0
2022-03-02,319000.000000,319500.000000,312000.000000,317000.000000,317000.000000,546099
2022-03-03,319000.000000,327000.000000,318500.000000,325500.000000,325500.000000,580888
2022-03-04,325500.000000,325500.000000,325500.000000,325500.000000,325500.000000,0
2022-03-07,309000.000000,309500.000000,305000.000000,307000.000000,307000.000000,535033
2022-03-08,302000.000000,309500.000000,301500.000000,304500.000000,304500.000000,559921
2022-03-10,304500.000000,304500.000000,304500.000000,304500.000000,304500.000000,0
2022-03-11,304500.000000,304500.000000,304500.000000,304500.000000,304500.000000,0
2022-03-14,328500.000000,338000.000000,325000.000000,329000.000000,329000.000000,679812
2022-03-15,329000.000000,329000.000000,329000.000000,329000.000000,329000.000000,0
2022-03-16,329000.000000,329000.000000,329000.000000,329000.000000,329000.000000,0
2022-03-17,329000.000000,329000.000000,329000.000000,329000.000000,329000.000000,0
2022-03-18,345000.000000,346500.000000,341500.000000,344500.000000,344500.000000,722326
2022-03-21,344500.000000,344500.000000,344500.000000,344500.000000,344500.000000,0
2022-03-22,340000.000000,341000.000000,336000.000000,339500.000000,339500.000000,301259
2022-03-23,343000.000000,347500.000000,341500.000000,345500.000000,345500.000000,504911
2022-03-24,339500.000000,342000.000000,335000.000000,340000.000000,340000.000000,528012
2022-03-25,339500.000000,340000.000000,332500.000000,333000.000000,333000.000000,559026
2022-03-28,329500.000000,332500.000000,324000.000000,331500.000000,331500.000000,356589
2022-03-29,334500.000000,338000.000000,332000.000000,334000.000000,334000.000000,323767
2022-03-30,342000.000000,342000.000000,337000.000000,339000.000000,339000.000000,454373
2022-03-31,341500.000000,342000.000000,338500.000000,340500.000000,340500.000000,427064
2022-04-01,340000.000000,340500.000000,335500.000000,335500.000000,335500.000000,446987
2022-04-04,335500.000000,339000.000000,332000.000000,338000.000000,338000.000000,283687
2022-04-05,340500.000000,343000.000000,338000.000000,342500.000000,342500.000000,389951
2022-04-06,336500.000000,338000.000000,329000.000000,330000.000000,330000.000000,647201
2022-04-07,323000.000000,328500.000000,321000.000000,321000.000000,321000.000000,493204
2022-04-08,322000.000000,324500.000000,311500.000000,316500.000000,316500.000000,626173
2022-04-11,311000.000000,313000.000000,308000.000000,313000.000000,313000.000000,507362
2022-04-12,306000.000000,311000.000000,305000.000000,308500.000000,308500.000000,467984
2022-04-13,306000.000000,311500.000000,304000.000000,310500.000000,310500.000000,519629
2022-04-14,311500.000000,315500.000000,308500.000000,313000.000000,313000.000000,459979
2022-04-15,309000.000000,314000.000000,305500.000000,308500.000000,308500.000000,369642
2022-04-18,306000.000000,308000.000000,305000.000000,306500.000000,306500.000000,209787
2022-04-19,308000.000000,314000.000000,307500.000000,312000.000000,312000.000000,371024
2022-04-20,315500.000000,317000.000000,312000.000000,315500.000000,315500.000000,496286
2022-04-21,310500.000000,311000.000000,306000.000000,309500.000000,309500.000000,803990
2022-04-22,302000.000000,304000.000000,299500.000000,300000.000000,300000.000000,1166406
2022-04-25,292500.000000,295000.000000,288000.000000,288500.000000,288500.000000,823308
2022-04-26,288500.000000,291500.000000,285000.000000,287000.000000,287000.000000,804555
2022-04-27,279500.000000,282000.000000,277000.000000,280500.000000,280500.000000,875090
2022-04-28,286000.000000,286000.000000,278500.000000,280500.000000,280500.000000,547958
2022-04-29,282500.000000,287500.000000,281500.000000,286500.000000,286500.000000,540274
